d6a603c was Danne Connolly, 2 days ago, message: First commit
a2df28f was Taylor Otwell, 4 months ago, message: Merge pull request #3988 from arcanedev-maroc/patch-1
f699e71 was ARCANEDEV, 4 months ago, message: Fixing typehint
a37215d was Taylor Otwell, 4 months ago, message: fix spacing
421b210 was Taylor Otwell, 4 months ago, message: Merge pull request #3987 from barryvdh/patch-2
93e078a was Barry vd. Heuvel, 4 months ago, message: Add typehint for Factory
e0573e6 was Erik Telford, 5 months ago, message: Use mounted instead of ready
6f9a450 was Erik Telford, 5 months ago, message: Bind to #app instead of body
1117be0 was Erik Telford, 5 months ago, message: Use vue 2 and elixir-vue-2
d880fb5 was Taylor Otwell, 5 months ago, message: no need for env
f4606d2 was Taylor Otwell, 5 months ago, message: Merge pull request #3957 from WayneHarris/vue-resource
76db100 was Wayne Harris, 5 months ago, message: Update Vue Resource
54ee465 was Till Krüss, 5 months ago, message: Added `database.redis.client` configuration
4eeec60 was Taylor Otwell, 5 months ago, message: Merge remote-tracking branch 'origin/master'
a80e5bc was Taylor Otwell, 5 months ago, message: add bus alias
f777e89 was Taylor Otwell, 5 months ago, message: Merge pull request #3951 from krienow/patch-d57d11
dcf9718 was Kai Rienow, 5 months ago, message: Add unique modifier
49a4810 was Taylor Otwell, 5 months ago, message: different default name
65e73f3 was Taylor Otwell, 5 months ago, message: Merge branch 'develop'
93d92bb was Taylor Otwell, 5 months ago, message: Merge pull request #3942 from ramondj/patch-1
d829d75 was Ramon, 5 months ago, message: Rename variables.scss to _variables.scss
31fce5c was Taylor Otwell, 5 months ago, message: change wording
30d0e2d was Francisco Daniel, 5 months ago, message: fix comments
7f06559 was Taylor Otwell, 5 months ago, message: Merge pull request #3929 from bryceadams/patch-map-api-before-web
78f4e85 was Bryce Adams, 5 months ago, message: Map API routes before Web routes
7da6edf was Taylor Otwell, 6 months ago, message: working on message
1562407 was Mohamed Said, 6 months ago, message:         add langiage line for uploaded validation rule
a4b53b3 was Taylor Otwell, 6 months ago, message: Merge pull request #3922 from jasonmccreary/https-only-cookie-env
a70dd56 was Taylor Otwell, 6 months ago, message: Merge pull request #3923 from fernandobandeira/patch-1
dd1e64a was Fernando Henrique Bandeira, 6 months ago, message: Changing order
41b0560 was Jason McCreary, 6 months ago, message: Environment configuration for HTTPS only cookie
c92c724 was Taylor Otwell, 6 months ago, message: Merge pull request #3921 from jackmu95/add-mimetypes-translation
537b628 was Jacob Müller, 6 months ago, message: Add missing translation for `mimetypes` validation
d09efa2 was Taylor Otwell, 6 months ago, message: remove irrelevant comment
07360db was Taylor Otwell, 6 months ago, message: Merge pull request #3913 from ngyikp/master
d7fb66c was Taylor Otwell, 6 months ago, message: Merge pull request #3914 from dersvenhesse/patch-1
330a9aa was dersvenhesse, 6 months ago, message: Adding description for default inspire command
8fc2e7e was Ng Yik Phang, 6 months ago, message: Add fallback sans-serif font in case the custom font fails to load
1cb19ac was Taylor Otwell, 6 months ago, message: Merge pull request #3910 from restored18/master
366f8ab was restored18, 6 months ago, message: Add web.config
63e0cdc was Taylor Otwell, 6 months ago, message: Merge pull request #3909 from Rkallenkoot/patch-1
f19c16c was Roelof Kallenkoot, 6 months ago, message: Sorted the Application Service Providers alphabetically
de81dd3 was Taylor Otwell, 6 months ago, message: Merge pull request #3906 from greabock/patch-1
9c7fad2 was Роман Сохарев, 6 months ago, message: Change .env PUSHER_* params order
362383d was Taylor Otwell, 6 months ago, message: Merge pull request #3904 from scrubmx/patch-5
82357a5 was Jorge González, 6 months ago, message: Remove extra whitespace in config/cache.php
f5dfa20 was Taylor Otwell, 6 months ago, message: fix typo
99de565 was Taylor Otwell, 6 months ago, message: change composer file
6f68519 was Taylor Otwell, 6 months ago, message: fix conflicts
e959c22 was Taylor Otwell, 6 months ago, message: Merge pull request #3899 from heruputra/patch-1
a14dc56 was Heru Hang Tryputra, 6 months ago, message: Fix order
b05598b was Taylor Otwell, 6 months ago, message: Merge remote-tracking branch 'origin/develop' into develop
cf0875a was Taylor Otwell, 6 months ago, message: move middleware to route
a2c075b was Taylor Otwell, 6 months ago, message: Merge pull request #3894 from adamwathan/53-precomputed-hash
3435710 was Adam Wathan, 6 months ago, message: Use implicit null instead of explicit
792dcd4 was Adam Wathan, 6 months ago, message: Compute hash only once and store in static variable
b041a03 was Adam Wathan, 6 months ago, message: Use precomputed hash instead of bcrypt in ModelFactory
aed59d9 was Mohamed Said, 6 months ago, message:    remove brackets
c0b9523 was Mohamed Said, 6 months ago, message: Remove defalut auth:api middleware
2689538 was Taylor Otwell, 6 months ago, message: fix order
d84c499 was Taylor Otwell, 6 months ago, message: Merge pull request #3891 from socieboy/develop
8998cf5 was Frank Sepulveda, 6 months ago, message: Add BROADCAST_DRIVER on .env
e596cef was Taylor Otwell, 6 months ago, message: Merge pull request #3889 from adriaanzon/patch-1
ffd7ad9 was Taylor Otwell, 6 months ago, message: Revert recent changes to env file.
7571f2b was Adriaan Zonnenberg, 6 months ago, message: Use module name instead of path
c7a1c7d was Taylor Otwell, 6 months ago, message: Ship a console routes file by default. 🌊
57b57bf was Taylor Otwell, 6 months ago, message: Merge pull request #3880 from BrandonSurowiec/patch-2
9fb8af1 was Taylor Otwell, 6 months ago, message: Merge pull request #3881 from BrandonSurowiec/patch-4
6f055a9 was Brandon Surowiec, 6 months ago, message: Update server.php email address
97fde5b was Brandon Surowiec, 6 months ago, message: Update email address
982e769 was Taylor Otwell, 6 months ago, message: Merge pull request #3874 from lancepioch/patch-1
86676aa was Taylor Otwell, 6 months ago, message: Merge pull request #3878 from tillkruss/patch-4
f111704 was Till Krüss, 6 months ago, message: Fix order
40e9d60 was Taylor Otwell, 6 months ago, message: Merge pull request #3877 from balping/patch-1
3415bea was balping, 6 months ago, message: GitIgnore PHPStorm's config directory from
05235ee was Lance Pioch, 6 months ago, message: Add TokenMismatchException to the dontReport array
583fd4e was Taylor Otwell, 6 months ago, message: Merge pull request #3872 from donnes/patch-1
4ee5172 was Donald Silveira, 6 months ago, message: Use const instead of var in Vue instance
e79c0d2 was Taylor Otwell, 6 months ago, message: Merge pull request #3871 from diogoazevedos/use-const
7bb7ade was Taylor Otwell, 6 months ago, message: Merge pull request #3870 from diogoazevedos/arrow-functions
6d21a74 was Diogo Azevedo, 6 months ago, message: Use const instead of var in require
afb3e1c was Diogo Azevedo, 6 months ago, message: Use arrow functions instead of functions
788a648 was Taylor Otwell, 6 months ago, message: match order to website
e49c8ae was Taylor Otwell, 6 months ago, message: Merge pull request #3867 from JosephSilber/remove-requests
43c2d8e was Taylor Otwell, 6 months ago, message: tweak variable
655dbad was Taylor Otwell, 6 months ago, message: tweaking default setup
47c0b45 was Taylor Otwell, 6 months ago, message: Merge remote-tracking branch 'origin/develop' into develop
8a9f89d was Taylor Otwell, 6 months ago, message: fix wording
b69e85c was Taylor Otwell, 6 months ago, message: Merge pull request #3868 from tillkruss/patch-3
530c818 was Till Krüss, 6 months ago, message: Use double quotes; Remove un-used fonts
7e41c61 was Taylor Otwell, 6 months ago, message: rename method
7b1ab65 was Joseph Silber, 6 months ago, message: Delete app/Http/Requests directory
24d0102 was Taylor Otwell, 6 months ago, message: recompile
54d3f32 was Taylor Otwell, 6 months ago, message: change header
9c02782 was Taylor Otwell, 6 months ago, message: simplify csrf token retrieval. remove package.
e6cc603 was Taylor Otwell, 6 months ago, message: add notification facade
1b126d0 was Taylor Otwell, 6 months ago, message: Merge pull request #3865 from svenluijten/javascript-docblock-missing-word
5833718 was Sven Luijten, 6 months ago, message: Vue is a library, not a framework
727eda7 was Sven Luijten, 6 months ago, message: fix missing word in docblock
51113bd was Taylor Otwell, 6 months ago, message: Default broadcasting driver to null.
1426bdd was Taylor Otwell, 6 months ago, message: Merge pull request #3864 from laravel/analysis-8KgoeQ
30a9cbf was Taylor Otwell, 6 months ago, message: Applied fixes from StyleCI
9df814e was Taylor Otwell, 6 months ago, message: Tweak a few broadcasting configurations.
5fad376 was Taylor Otwell, 6 months ago, message: Merge remote-tracking branch 'origin/develop' into develop
41c0eec was Taylor Otwell, 6 months ago, message: tweak broadcast service provider
de80aad was Taylor Otwell, 6 months ago, message: Merge pull request #3854 from jhoff/phpmd_compliance
89a4343 was Taylor Otwell, 6 months ago, message: fix cons
4c2e1ed was Taylor Otwell, 6 months ago, message: working on welcome page
4c271f0 was vijay kumar, 7 months ago, message: Removes padding on html/body to kill the scrollbar and top right links fixes
6e91cc6 was Taylor Otwell, 7 months ago, message: Merge pull request #3861 from laravel/revert-3853-develop
88e55f4 was Taylor Otwell, 7 months ago, message: Revert "Removes padding on html/body to kill the scrollbar"
64ae3d5 was Taylor Otwell, 7 months ago, message: fix cons
6709c69 was Taylor Otwell, 7 months ago, message: Merge pull request #3858 from laravel/analysis-XV0reP
a39c52c was Taylor Otwell, 7 months ago, message: remove test code
3807819 was Taylor Otwell, 7 months ago, message: Applied fixes from StyleCI
196c267 was Taylor Otwell, 7 months ago, message: resolve conflicts and clean up file
3b2f29e was Taylor Otwell, 7 months ago, message: Merge pull request #3853 from jackmcdade/develop
054bb04 was Taylor Otwell, 7 months ago, message: resolve conflicts
5d0ecde was Taylor Otwell, 7 months ago, message: get rid of space
dfb33e2 was Taylor Otwell, 7 months ago, message: Merge pull request #3857 from laravel/analysis-qMe1Y4
f89a244 was Taylor Otwell, 7 months ago, message: Applied fixes from StyleCI
b6a1152 was Taylor Otwell, 7 months ago, message: Merge pull request #3856 from laravel/analysis-zGgD5r
d0f90f9 was Taylor Otwell, 7 months ago, message: Merge branch 'master' into develop
e083273 was Taylor Otwell, 7 months ago, message: Applied fixes from StyleCI
14f79f1 was Taylor Otwell, 7 months ago, message: Merge pull request #3855 from BartHuis/patch-1
936addc was Bart Huisman (also known as VolgensBartjes), 7 months ago, message: give newbees a package service providers section, preventing adding after application
ab453a7 was Taylor Otwell, 7 months ago, message: Add default address in mail config.
b7d684e was Jordan Hoff, 7 months ago, message: Compliance with commonly used phpmd rules
66946dc was Jack McDade, 7 months ago, message: Removes padding on html/body to kill the scrollbar
bcf3935 was Phil Bates, 7 months ago, message: Wrap .env.example variable values in quotes
f242112 was Taylor Otwell, 7 months ago, message: Merge pull request #3850 from crynobone/default-app-key
007c019 was crynobone, 7 months ago, message: [5.2] Remove default APP_KEY value
7f24b91 was Taylor Otwell, 7 months ago, message: working on landing page
ca7c973 was Taylor Otwell, 7 months ago, message: fix length
133bd9d was Taylor Otwell, 7 months ago, message: Merge pull request #3841 from ac1982/patch-1
4c6abcd was Taylor Otwell, 7 months ago, message: Merge pull request #3845 from mayoz/patch-3
9f93004 was Graham Campbell, 7 months ago, message: Merge pull request #3842 from spyric/develop
42930ed was Sercan Çakır, 7 months ago, message: sort by name
288e361 was Egor Talantsev, 7 months ago, message: Remove removed routes file
813c941 was Alex, 7 months ago, message: fix wrong spelling
0203d5d was Graham Campbell, 7 months ago, message: Merge branch 'master' into develop
5658575 was Taylor Otwell, 7 months ago, message: Merge pull request #3840 from hikouki/master
2f0ec59 was hikouki, 7 months ago, message: Modify post-root-package-install script.
2a8c38a was Taylor Otwell, 7 months ago, message: compile assets
9cce61b was Taylor Otwell, 7 months ago, message: Merge pull request #3839 from PascaleBeier/develop
0cfc40e was PascaleBeier, 7 months ago, message: Make use of Bootstrap 3.3.7 with jQuery 3 support
41e2efb was Taylor Otwell, 7 months ago, message: update package json
4cc3022 was Taylor Otwell, 7 months ago, message: Tweak stub width.
9659e8d was Taylor Otwell, 7 months ago, message: Example component.
e2b297b was Taylor Otwell, 7 months ago, message: Tweak marketing text.
8f66f4b was Taylor Otwell, 7 months ago, message: Tweak default files.
eedac02 was Taylor Otwell, 7 months ago, message: Slim down examples.
7bb44a2 was Taylor Otwell, 7 months ago, message: Tweak variables.
ff70fac was Taylor Otwell, 7 months ago, message: Fix test.
c309b4f was Taylor Otwell, 7 months ago, message: add forge to links
40ae681 was Taylor Otwell, 7 months ago, message: tweak variables
cfb5a68 was Taylor Otwell, 7 months ago, message: work on default styling
1cbbf41 was Taylor Otwell, 7 months ago, message: Remove some unneeded variables.
6f2541f was Taylor Otwell, 7 months ago, message: new welcome page
e5cb0a3 was Taylor Otwell, 7 months ago, message: working on sass
467e00d was Taylor Otwell, 7 months ago, message: working on sass
abe35a0 was Taylor Otwell, 7 months ago, message: working on sass
f41a400 was Taylor Otwell, 7 months ago, message: Tweak a few variables.
24766d4 was Taylor Otwell, 7 months ago, message: redirect to home if authed
592b7a2 was Taylor Otwell, 7 months ago, message: add compiled assets
3f5da4f was Taylor Otwell, 7 months ago, message: Include the font in the Sass.
e9fe020 was Taylor Otwell, 7 months ago, message: sample js component
eb289b4 was Taylor Otwell, 7 months ago, message: tweak js bootstrapping
0699994 was Taylor Otwell, 7 months ago, message: add files
3f19733 was Taylor Otwell, 7 months ago, message: bootstrap vue in app.js
fd569a3 was Taylor Otwell, 7 months ago, message: Name this option "retry_after" for clarity.
3cc0388 was Taylor Otwell, 7 months ago, message: Use expire for consistency.
ea52a96 was Taylor Otwell, 7 months ago, message: Remove mandrill as a default configuration since it's fallen out of popularity.
7337515 was Taylor Otwell, 7 months ago, message: Merge remote-tracking branch 'origin/develop' into develop
1cc411d was Taylor Otwell, 7 months ago, message: remove directories. let them be jit created.
93cdacf was Taylor Otwell, 7 months ago, message: remove word
e34ac8c was Taylor Otwell, 7 months ago, message: Merge pull request #3833 from KennedyTedesco/5.3-provider
517d8d4 was Taylor Otwell, 7 months ago, message: Remove web config by default.
76f9ea7 was Kennedy Tedesco, 7 months ago, message: [5.3] Remove register() from BroadcastServiceProvider
cdbbe86 was Taylor Otwell, 7 months ago, message: Jeffrey says stay with web pack.
203d79f was Taylor Otwell, 7 months ago, message: Use rollup by default instead of web pack.
5ccd086 was Taylor Otwell, 7 months ago, message: Remove aliases.
dc3d82f was Taylor Otwell, 7 months ago, message: Add aliases.
4507429 was Graham Campbell, 7 months ago, message: Merge branch 'master' into develop
e72d4a8 was Graham Campbell, 7 months ago, message: Merge branch '5.1'
e7a03b4 was Taylor Otwell, 7 months ago, message: Stop aliasing a bunch of classes by default.
db5d228 was Taylor Otwell, 7 months ago, message: Merge pull request #3831 from laravel/analysis-XW6KOy
5183501 was Taylor Otwell, 7 months ago, message: Applied fixes from StyleCI
7ec26ce was Taylor Otwell, 7 months ago, message: Tweak location of routes files.
2b05ce3 was Taylor Otwell, 7 months ago, message: Just use facades in service providers.
ebc1be0 was Taylor Otwell, 7 months ago, message: update color
eb24741 was Taylor Otwell, 7 months ago, message: Default JS file.
05d0058 was Taylor Otwell, 7 months ago, message: elixir version
15e1abd was Taylor Otwell, 7 months ago, message: tweak package file
677c1bd was Taylor Otwell, 7 months ago, message: import class
173e0ef was Taylor Otwell, 7 months ago, message: add variables file
b5a8c27 was Taylor Otwell, 7 months ago, message: add files
9c817e7 was Taylor Otwell, 7 months ago, message: use new auth features
